Model,K,N,Total Questions,Recall@N
granite-embedding-30m,5,1,401,0.7007481296758105
granite-embedding-30m,5,2,401,0.8428927680798005
granite-embedding-30m,5,3,401,0.8665835411471322
granite-embedding-30m,5,4,401,0.8840399002493765
granite-embedding-30m,5,5,401,0.8952618453865336
granite-embedding-30m,10,1,401,0.7144638403990025
granite-embedding-30m,10,2,401,0.8591022443890274
granite-embedding-30m,10,3,401,0.8865336658354115
granite-embedding-30m,10,4,401,0.8890274314214464
granite-embedding-30m,10,5,401,0.8927680798004988
granite-embedding-30m,10,6,401,0.9376558603491272
granite-embedding-30m,10,7,401,0.9177057356608479
granite-embedding-30m,10,8,401,0.9314214463840399
granite-embedding-30m,10,9,401,0.9301745635910225
granite-embedding-30m,10,10,401,0.9114713216957606
granite-embedding-30m,15,1,401,0.7244389027431422
granite-embedding-30m,15,2,401,0.8416458852867831
granite-embedding-30m,15,3,401,0.8790523690773068
granite-embedding-30m,15,4,401,0.899002493765586
granite-embedding-30m,15,5,401,0.9102244389027432
granite-embedding-30m,15,6,401,0.9214463840399002
granite-embedding-30m,15,7,401,0.9351620947630923
granite-embedding-30m,15,8,401,0.9064837905236908
granite-embedding-30m,15,9,401,0.92643391521197
granite-embedding-30m,15,10,401,0.9251870324189526
