id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2001.03371v1,"Data-Dependence of Plateau Phenomenon in Learning with Neural Network
  --- Statistical Mechanical Analysis",Machine Learning (Statistics),stat.ML,2020-01-10,1/10/20,"['Yuki Yoshida', 'Masato Okada']",'Yuki Yoshida',"The plateau phenomenon, wherein the loss value stops decreasing during the
process of learning, has been reported by various researchers. The phenomenon
is actively inspected in the 1990s and found to be due to the fundamental
hierarchical structure of neural network models. Then the phenomenon has been
thought as inevitable. However, the phenomenon seldom occurs in the context of
recent deep learning. There is a gap between theory and reality. In this paper,
using statistical mechanical formulation, we clarified the relationship between
the plateau phenomenon and the statistical property of the data learned. It is
shown that the data whose covariance has small and dispersed eigenvalues tend
to make the plateau phenomenon inconspicuous.",113
abs-2004.06445v1,"Stochastic modeling of non-linear adsorption with Gaussian kernel
  density estimators",Machine Learning (Statistics),stat.ML,2020-04-14,4/14/20,"['Maryam Rahbaralam', 'Amir Abdollahi', 'Daniel Fernàndez-Garcia', 'Xavier Sanchez-Vila']",'Maryam Rahbaralam',"Adsorption is a relevant process in many fields, such as product
manufacturing or pollution remediation in porous materials. Adsorption takes
place at the molecular scale, amenable to be modeled by Lagrangian numerical
methods. We have proposed a chemical diffusion-reaction model for the
simulation of adsorption, based on the combination of a random walk particle
tracking method involving the use of Gaussian Kernel Density Estimators. The
main feature of the proposed model is that it can effectively reproduce the
nonlinear behavior characteristic of the Langmuir and Freundlich isotherms. In
the former, it is enough to add a finite number of sorption sites of
homogeneous sorption properties, and to set the process as the combination of
the forward and the backward reactions, each one of them with a prespecified
reaction rate. To model the Freundlich isotherm instead, typical of low to
intermediate range of solute concentrations, there is a need to assign a
different equilibrium constant to each specific sorption site, provided they
are all drawn from a truncated power-law distribution. Both nonlinear models
can be combined in a single framework to obtain a typical observed behavior for
a wide range of concentration values.",192
abs-2006.05942v3,On Uniform Convergence and Low-Norm Interpolation Learning,Machine Learning (Statistics),stat.ML,2020-06-10,1/14/21,"['Lijia Zhou', 'Danica J. Sutherland', 'Nathan Srebro']",'Lijia Zhou',"We consider an underdetermined noisy linear regression model where the
minimum-norm interpolating predictor is known to be consistent, and ask: can
uniform convergence in a norm ball, or at least (following Nagarajan and
Kolter) the subset of a norm ball that the algorithm selects on a typical input
set, explain this success? We show that uniformly bounding the difference
between empirical and population errors cannot show any learning in the norm
ball, and cannot show consistency for any set, even one depending on the exact
algorithm and distribution. But we argue we can explain the consistency of the
minimal-norm interpolator with a slightly weaker, yet standard, notion: uniform
convergence of zero-error predictors in a norm ball. We use this to bound the
generalization error of low- (but not minimal-) norm interpolating predictors.",132
abs-2007.06075v5,Identifying Latent Stochastic Differential Equations,Machine Learning (Statistics),stat.ML,2020-07-12,11/26/21,"['Ali Hasan', 'João M. Pereira', 'Sina Farsiu', 'Vahid Tarokh']",'Ali Hasan',"We present a method for learning latent stochastic differential equations
(SDEs) from high-dimensional time series data. Given a high-dimensional time
series generated from a lower dimensional latent unknown It\^o process, the
proposed method learns the mapping from ambient to latent space, and the
underlying SDE coefficients, through a self-supervised learning approach. Using
the framework of variational autoencoders, we consider a conditional generative
model for the data based on the Euler-Maruyama approximation of SDE solutions.
Furthermore, we use recent results on identifiability of latent variable models
to show that the proposed model can recover not only the underlying SDE
coefficients, but also the original latent variables, up to an isometry, in the
limit of infinite data. We validate the method through several simulated video
processing tasks, where the underlying SDE is known, and through real world
datasets.",136
abs-2004.06481v1,"The covariance matrix of Green's functions and its application to
  machine learning",Machine Learning (Statistics),stat.ML,2020-04-14,4/14/20,['Tomoko Nagai'],'Tomoko Nagai',"In this paper, a regression algorithm based on Green's function theory is
proposed and implemented. We first survey Green's function for the Dirichlet
boundary value problem of 2nd order linear ordinary differential equation,
which is a reproducing kernel of a suitable Hilbert space. We next consider a
covariance matrix composed of the normalized Green's function, which is
regarded as aprobability density function. By supporting Bayesian approach, the
covariance matrix gives predictive distribution, which has the predictive mean
$\mu$ and the confidence interval [$\mu$-2s, $\mu$+2s], where s stands for a
standard deviation.",91
abs-2311.13180v2,"Provably Efficient High-Dimensional Bandit Learning with Batched
  Feedbacks",Machine Learning (Statistics),stat.ML,2023-11-22,11/24/23,"['Jianqing Fan', 'Zhaoran Wang', 'Zhuoran Yang', 'Chenlu Ye']",'Jianqing Fan',"We study high-dimensional multi-armed contextual bandits with batched
feedback where the $T$ steps of online interactions are divided into $L$
batches. In specific, each batch collects data according to a policy that
depends on previous batches and the rewards are revealed only at the end of the
batch. Such a feedback structure is popular in applications such as
personalized medicine and online advertisement, where the online data often do
not arrive in a fully serial manner. We consider high-dimensional and linear
settings where the reward function of the bandit model admits either a sparse
or low-rank structure and ask how small a number of batches are needed for a
comparable performance with fully dynamic data in which $L = T$. For these
settings, we design a provably sample-efficient algorithm which achieves a $
\mathcal{\tilde O}(s_0^2 \log^2 T)$ regret in the sparse case and $
\mathcal{\tilde O} ( r ^2 \log^2 T)$ regret in the low-rank case, using only $L
= \mathcal{O}( \log T)$ batches. Here $s_0$ and $r$ are the sparsity and rank
of the reward parameter in sparse and low-rank cases, respectively, and $
\mathcal{\tilde O}(\cdot)$ omits logarithmic factors involving the feature
dimensions. In other words, our algorithm achieves regret bounds comparable to
those in fully sequential setting with only $\mathcal{O}( \log T)$ batches. Our
algorithm features a novel batch allocation method that adjusts the batch sizes
according to the estimation accuracy within each batch and cumulative regret.
Furthermore, we also conduct experiments with synthetic and real-world data to
validate our theory.",253
abs-2006.09763v3,Longitudinal Variational Autoencoder,Machine Learning (Statistics),stat.ML,2020-06-17,4/20/21,"['Siddharth Ramchandran', 'Gleb Tikhonov', 'Kalle Kujanpää', 'Miika Koskinen', 'Harri Lähdesmäki']",'Siddharth Ramchandran',"Longitudinal datasets measured repeatedly over time from individual subjects,
arise in many biomedical, psychological, social, and other studies. A common
approach to analyse high-dimensional data that contains missing values is to
learn a low-dimensional representation using variational autoencoders (VAEs).
However, standard VAEs assume that the learnt representations are i.i.d., and
fail to capture the correlations between the data samples. We propose the
Longitudinal VAE (L-VAE), that uses a multi-output additive Gaussian process
(GP) prior to extend the VAE's capability to learn structured low-dimensional
representations imposed by auxiliary covariate information, and derive a new KL
divergence upper bound for such GPs. Our approach can simultaneously
accommodate both time-varying shared and random effects, produce structured
low-dimensional representations, disentangle effects of individual covariates
or their interactions, and achieve highly accurate predictive performance. We
compare our model against previous methods on synthetic as well as clinical
datasets, and demonstrate the state-of-the-art performance in data imputation,
reconstruction, and long-term prediction tasks.",156
abs-2112.09217v2,High-Dimensional Inference in Bayesian Networks,Machine Learning (Statistics),stat.ML,2021-12-16,7/20/22,"['Fritz M. Bayer', 'Giusi Moffa', 'Niko Beerenwinkel', 'Jack Kuipers']",'Fritz M. Bayer',"Inference of the marginal probability distribution is defined as the
calculation of the probability of a subset of the variables and is relevant for
handling missing data and hidden variables. While inference of the marginal
probability distribution is crucial for various problems in machine learning
and statistics, its exact computation is generally not feasible for categorical
variables in Bayesian networks due to the NP-hardness of this task. We develop
a divide-and-conquer approach using the graphical properties of Bayesian
networks to split the computation of the marginal probability distribution into
sub-calculations of lower dimensionality, thus reducing the overall
computational complexity. Exploiting this property, we present an efficient and
scalable algorithm for calculating the marginal probability distribution for
categorical variables. The novel method is compared against state-of-the-art
approximate inference methods in a benchmarking study, where it displays
superior performance. As an immediate application, we demonstrate how our
method can be used to classify incomplete data against Bayesian networks and
use this approach for identifying the cancer subtype of kidney cancer patient
samples.",170
abs-2109.04244v1,"Supervised Linear Dimension-Reduction Methods: Review, Extensions, and
  Comparisons",Machine Learning (Statistics),stat.ML,2021-09-09,9/9/21,"['Shaojie Xu', 'Joel Vaughan', 'Jie Chen', 'Agus Sudjianto', 'Vijayan Nair']",'Shaojie Xu',"Principal component analysis (PCA) is a well-known linear dimension-reduction
method that has been widely used in data analysis and modeling. It is an
unsupervised learning technique that identifies a suitable linear subspace for
the input variable that contains maximal variation and preserves as much
information as possible. PCA has also been used in prediction models where the
original, high-dimensional space of predictors is reduced to a smaller, more
manageable, set before conducting regression analysis. However, this approach
does not incorporate information in the response during the dimension-reduction
stage and hence can have poor predictive performance. To address this concern,
several supervised linear dimension-reduction techniques have been proposed in
the literature. This paper reviews selected techniques, extends some of them,
and compares their performance through simulations. Two of these techniques,
partial least squares (PLS) and least-squares PCA (LSPCA), consistently
outperform the others in this study.",144
abs-2210.11530v1,"Theoretical analysis of deep neural networks for temporally dependent
  observations",Machine Learning (Statistics),stat.ML,2022-10-20,10/20/22,"['Mingliang Ma', 'Abolfazl Safikhani']",'Mingliang Ma',"Deep neural networks are powerful tools to model observations over time with
non-linear patterns. Despite the widespread use of neural networks in such
settings, most theoretical developments of deep neural networks are under the
assumption of independent observations, and theoretical results for temporally
dependent observations are scarce. To bridge this gap, we study theoretical
properties of deep neural networks on modeling non-linear time series data.
Specifically, non-asymptotic bounds for prediction error of (sparse)
feed-forward neural network with ReLU activation function is established under
mixing-type assumptions. These assumptions are mild such that they include a
wide range of time series models including auto-regressive models. Compared to
independent observations, established convergence rates have additional
logarithmic factors to compensate for additional complexity due to dependence
among data points. The theoretical results are supported via various numerical
simulation settings as well as an application to a macroeconomic data set.",145
