id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2406.02921v2,Text Injection for Neural Contextual Biasing,Computation and Language (Natural Language Processing),cs.CL,2024-06-05,6/11/24,"['Zhong Meng', 'Zelin Wu', 'Rohit Prabhavalkar', 'Cal Peyser', 'Weiran Wang', 'Nanxin Chen', 'Tara N. Sainath', 'Bhuvana Ramabhadran']",'Zhong Meng',"Neural contextual biasing effectively improves automatic speech recognition
(ASR) for crucial phrases within a speaker's context, particularly those that
are infrequent in the training data. This work proposes contextual text
injection (CTI) to enhance contextual ASR. CTI leverages not only the paired
speech-text data, but also a much larger corpus of unpaired text to optimize
the ASR model and its biasing component. Unpaired text is converted into
speech-like representations and used to guide the model's attention towards
relevant bias phrases. Moreover, we introduce a contextual text-injected (CTI)
minimum word error rate (MWER) training, which minimizes the expected WER
caused by contextual biasing when unpaired text is injected into the model.
Experiments show that CTI with 100 billion text sentences can achieve up to
43.3% relative WER reduction from a strong neural biasing model. CTI-MWER
provides a further relative improvement of 23.5%.",141
abs-2304.02541v4,PWESuite: Phonetic Word Embeddings and Tasks They Facilitate,Computation and Language (Natural Language Processing),cs.CL,2023-04-05,3/26/24,"['Vilém Zouhar', 'Kalvin Chang', 'Chenxuan Cui', 'Nathaniel Carlson', 'Nathaniel Robinson', 'Mrinmaya Sachan', 'David Mortensen']",'Vilém Zouhar',"Mapping words into a fixed-dimensional vector space is the backbone of modern
NLP. While most word embedding methods successfully encode semantic
information, they overlook phonetic information that is crucial for many tasks.
We develop three methods that use articulatory features to build phonetically
informed word embeddings. To address the inconsistent evaluation of existing
phonetic word embedding methods, we also contribute a task suite to fairly
evaluate past, current, and future methods. We evaluate both (1) intrinsic
aspects of phonetic word embeddings, such as word retrieval and correlation
with sound similarity, and (2) extrinsic performance on tasks such as rhyme and
cognate detection and sound analogies. We hope our task suite will promote
reproducibility and inspire future phonetic embedding research.",119
abs-2406.16299v1,"Compensate Quantization Errors: Make Weights Hierarchical to Compensate
  Each Other",Computation and Language (Natural Language Processing),cs.CL,2024-06-24,6/24/24,"['Yifei Gao', 'Jie Ou', 'Lei Wang', 'Yuting Xiao', 'Zhiyuan Xiang', 'Ruiting Dai', 'Jun Cheng']",'Yifei Gao',"Emergent Large Language Models (LLMs) use their extraordinary performance and
powerful deduction capacity to discern from traditional language models.
However, the expenses of computational resources and storage for these LLMs are
stunning, quantization then arises as a trending conversation. To address
accuracy decay caused by quantization, two streams of works in post-training
quantization methods stand out. One uses other weights to compensate existing
quantization error, while the other transfers the quantization difficulty to
other parts in the model. Combining both merits, we introduce Learnable
Singular value Increment (LSI) as an advanced solution. LSI uses Singular Value
Decomposition to extract singular values of the weights and make them learnable
to help weights compensate each other conditioned on activation. Incorporating
LSI with existing techniques, we achieve state-of-the-art performance in
diverse quantization settings, no matter in weight-only, weight-activation or
extremely low bit scenarios. By unleashing the potential of LSI, efficient
finetuning on quantized model is no longer a prohibitive problem.",157
abs-2402.16361v1,Layer-wise Regularized Dropout for Neural Language Models,Computation and Language (Natural Language Processing),cs.CL,2024-02-26,2/26/24,"['Shiwen Ni', 'Min Yang', 'Ruifeng Xu', 'Chengming Li', 'Xiping Hu']",'Shiwen Ni',"Among the various pre-trained neural language models that are popular today,
dropout is already an indispensable regularization technique. To solve the
inconsistency between training and inference caused by the randomness of
dropout, some studies use consistency training to regularize dropout at the
output layer. In this paper, we propose a novel Layer-wise Regularized Dropout
(LR-Drop), which is specially designed for Transformer-based Language models.
Specifically, LR-Drop layer-wise regularizes each Transformer layer using the
consistency training strategy. Each training sample passes through the two
siamese sub-models sampled by dropout, and then LR-Drop forces the hidden
states, multi-head attention matrices, and output distribution of the two
siamese sub-models to be consistent. The proposed LR-Drop can be regarded as a
""self-distillation"" framework, in which each sub-model generated by dropout is
the other's ""teacher"" model and ""student"" model. Through extensive experiments
on 8 natural language understanding datasets, 6 neural machine translation
datasets, and 1 abstractive summarization dataset (a total of 15 datasets), we
show that LR-Drop achieves superior performances, including state-of-the-art
results.",167
abs-2302.13139v2,Prompt-based Learning for Text Readability Assessment,Computation and Language (Natural Language Processing),cs.CL,2023-02-25,6/16/24,"['Bruce W. Lee', 'Jason Hyung-Jong Lee']",'Bruce W. Lee',"We propose the novel adaptation of a pre-trained seq2seq model for
readability assessment. We prove that a seq2seq model - T5 or BART - can be
adapted to discern which text is more difficult from two given texts
(pairwise). As an exploratory study to prompt-learn a neural network for text
readability in a text-to-text manner, we report useful tips for future work in
seq2seq training and ranking-based approach to readability assessment.
Specifically, we test nine input-output formats/prefixes and show that they can
significantly influence the final model performance.
  Also, we argue that the combination of text-to-text training and pairwise
ranking setup 1) enables leveraging multiple parallel text simplification data
for teaching readability and 2) trains a neural model for the general concept
of readability (therefore, better cross-domain generalization). At last, we
report a 99.6% pairwise classification accuracy on Newsela and a 98.7% for
OneStopEnglish, through a joint training approach.",149
abs-2310.18738v1,TLM: Token-Level Masking for Transformers,Computation and Language (Natural Language Processing),cs.CL,2023-10-28,10/28/23,"['Yangjun Wu', 'Kebin Fang', 'Dongxiang Zhang', 'Han Wang', 'Hao Zhang', 'Gang Chen']",'Yangjun Wu',"Structured dropout approaches, such as attention dropout and DropHead, have
been investigated to regularize the multi-head attention mechanism in
Transformers. In this paper, we propose a new regularization scheme based on
token-level rather than structure-level to reduce overfitting. Specifically, we
devise a novel Token-Level Masking (TLM) training strategy for Transformers to
regularize the connections of self-attention, which consists of two masking
techniques that are effective and easy to implement. The underlying idea is to
manipulate the connections between tokens in the multi-head attention via
masking, where the networks are forced to exploit partial neighbors'
information to produce a meaningful representation. The generality and
effectiveness of TLM are thoroughly evaluated via extensive experiments on 4
diversified NLP tasks across 18 datasets, including natural language
understanding benchmark GLUE, ChineseGLUE, Chinese Grammatical Error
Correction, and data-to-text generation. The results indicate that TLM can
consistently outperform attention dropout and DropHead, e.g., it increases by
0.5 points relative to DropHead with BERT-large on GLUE. Moreover, TLM can
establish a new record on the data-to-text benchmark Rotowire (18.93 BLEU). Our
code will be publicly available at https://github.com/Young1993/tlm.",181
abs-2401.06081v2,"Improving Large Language Models via Fine-grained Reinforcement Learning
  with Minimum Editing Constraint",Computation and Language (Natural Language Processing),cs.CL,2024-01-11,6/17/24,"['Zhipeng Chen', 'Kun Zhou', 'Wayne Xin Zhao', 'Junchen Wan', 'Fuzheng Zhang', 'Di Zhang', 'Ji-Rong Wen']",'Zhipeng Chen',"Reinforcement learning (RL) has been widely used in training large language
models (LLMs) for preventing unexpected outputs, eg reducing harmfulness and
errors. However, existing RL methods mostly adopt the instance-level reward,
which is unable to provide fine-grained supervision for complex reasoning
tasks, and can not focus on the few key tokens that lead to the incorrectness.
To address it, we propose a new RL method named RLMEC that incorporates a
generative model as the reward model, which is trained by the erroneous
solution rewriting task under the minimum editing constraint, and can produce
token-level rewards for RL training. Based on the generative reward model, we
design the token-level RL objective for training and an imitation-based
regularization for stabilizing RL process. And the both objectives focus on the
learning of the key tokens for the erroneous solution, reducing the effect of
other unimportant tokens. The experiment results on mathematical tasks and
question-answering tasks have demonstrated the effectiveness of our approach.
Our code and data are available at https://github.com/RUCAIBox/RLMEC.",167
abs-2307.04683v1,"CORE-GPT: Combining Open Access research and large language models for
  credible, trustworthy question answering",Computation and Language (Natural Language Processing),cs.CL,2023-07-06,7/6/23,"['David Pride', 'Matteo Cancellieri', 'Petr Knoth']",'David Pride',"In this paper, we present CORE-GPT, a novel question-answering platform that
combines GPT-based language models and more than 32 million full-text open
access scientific articles from CORE. We first demonstrate that GPT3.5 and GPT4
cannot be relied upon to provide references or citations for generated text. We
then introduce CORE-GPT which delivers evidence-based answers to questions,
along with citations and links to the cited papers, greatly increasing the
trustworthiness of the answers and reducing the risk of hallucinations.
CORE-GPT's performance was evaluated on a dataset of 100 questions covering the
top 20 scientific domains in CORE, resulting in 100 answers and links to 500
relevant articles. The quality of the provided answers and and relevance of the
links were assessed by two annotators. Our results demonstrate that CORE-GPT
can produce comprehensive and trustworthy answers across the majority of
scientific domains, complete with links to genuine, relevant scientific
articles.",148
abs-2302.12952v1,"Robust language-based mental health assessments in time and space
  through social media",Computation and Language (Natural Language Processing),cs.CL,2023-02-25,2/25/23,"['Siddharth Mangalik', 'Johannes C. Eichstaedt', 'Salvatore Giorgi', 'Jihu Mun', 'Farhan Ahmed', 'Gilvir Gill', 'Adithya V. Ganesan', 'Shashanka Subrahmanya', 'Nikita Soni', 'Sean A. P. Clouston', 'H. Andrew Schwartz']",'Siddharth Mangalik',"Compared to physical health, population mental health measurement in the U.S.
is very coarse-grained. Currently, in the largest population surveys, such as
those carried out by the Centers for Disease Control or Gallup, mental health
is only broadly captured through ""mentally unhealthy days"" or ""sadness"", and
limited to relatively infrequent state or metropolitan estimates. Through the
large scale analysis of social media data, robust estimation of population
mental health is feasible at much higher resolutions, up to weekly estimates
for counties. In the present work, we validate a pipeline that uses a sample of
1.2 billion Tweets from 2 million geo-located users to estimate mental health
changes for the two leading mental health conditions, depression and anxiety.
We find moderate to large associations between the language-based mental health
assessments and survey scores from Gallup for multiple levels of granularity,
down to the county-week (fixed effects $\beta = .25$ to $1.58$; $p<.001$).
Language-based assessment allows for the cost-effective and scalable monitoring
of population mental health at weekly time scales. Such spatially fine-grained
time series are well suited to monitor effects of societal events and policies
as well as enable quasi-experimental study designs in population health and
other disciplines. Beyond mental health in the U.S., this method generalizes to
a broad set of psychological outcomes and allows for community measurement in
under-resourced settings where no traditional survey measures - but social
media data - are available.",234
abs-2403.18555v1,Debiasing Sentence Embedders through Contrastive Word Pairs,Computation and Language (Natural Language Processing),cs.CL,2024-03-27,3/27/24,"['Philip Kenneweg', 'Sarah Schröder', 'Alexander Schulz', 'Barbara Hammer']",'Philip Kenneweg',"Over the last years, various sentence embedders have been an integral part in
the success of current machine learning approaches to Natural Language
Processing (NLP). Unfortunately, multiple sources have shown that the bias,
inherent in the datasets upon which these embedding methods are trained, is
learned by them. A variety of different approaches to remove biases in
embeddings exists in the literature. Most of these approaches are applicable to
word embeddings and in fewer cases to sentence embeddings. It is problematic
that most debiasing approaches are directly transferred from word embeddings,
therefore these approaches fail to take into account the nonlinear nature of
sentence embedders and the embeddings they produce. It has been shown in
literature that bias information is still present if sentence embeddings are
debiased using such methods. In this contribution, we explore an approach to
remove linear and nonlinear bias information for NLP solutions, without
impacting downstream performance. We compare our approach to common debiasing
methods on classical bias metrics and on bias metrics which take nonlinear
information into account.",173
abs-2407.08618v2,Tamil Language Computing: the Present and the Future,Computation and Language (Natural Language Processing),cs.CL,2024-07-11,8/12/24,['Kengatharaiyer Sarveswaran'],'Kengatharaiyer Sarveswaran',"This paper delves into the text processing aspects of Language Computing,
which enables computers to understand, interpret, and generate human language.
Focusing on tasks such as speech recognition, machine translation, sentiment
analysis, text summarization, and language modelling, language computing
integrates disciplines including linguistics, computer science, and cognitive
psychology to create meaningful human-computer interactions. Recent
advancements in deep learning have made computers more accessible and capable
of independent learning and adaptation. In examining the landscape of language
computing, the paper emphasises foundational work like encoding, where Tamil
transitioned from ASCII to Unicode, enhancing digital communication. It
discusses the development of computational resources, including raw data,
dictionaries, glossaries, annotated data, and computational grammars, necessary
for effective language processing. The challenges of linguistic annotation, the
creation of treebanks, and the training of large language models are also
covered, emphasising the need for high-quality, annotated data and advanced
language models. The paper underscores the importance of building practical
applications for languages like Tamil to address everyday communication needs,
highlighting gaps in current technology. It calls for increased research
collaboration, digitization of historical texts, and fostering digital usage to
ensure the comprehensive development of Tamil language processing, ultimately
enhancing global communication and access to digital services.",201
abs-2403.17760v2,"Constructions Are So Difficult That Even Large Language Models Get Them
  Right for the Wrong Reasons",Computation and Language (Natural Language Processing),cs.CL,2024-03-26,5/29/24,"['Shijia Zhou', 'Leonie Weissweiler', 'Taiqi He', 'Hinrich Schütze', 'David R. Mortensen', 'Lori Levin']",'Shijia Zhou',"In this paper, we make a contribution that can be understood from two
perspectives: from an NLP perspective, we introduce a small challenge dataset
for NLI with large lexical overlap, which minimises the possibility of models
discerning entailment solely based on token distinctions, and show that GPT-4
and Llama 2 fail it with strong bias. We then create further challenging
sub-tasks in an effort to explain this failure. From a Computational
Linguistics perspective, we identify a group of constructions with three
classes of adjectives which cannot be distinguished by surface features. This
enables us to probe for LLM's understanding of these constructions in various
ways, and we find that they fail in a variety of ways to distinguish between
them, suggesting that they don't adequately represent their meaning or capture
the lexical properties of phrasal heads.",136
abs-2301.03141v2,Applying Automated Machine Translation to Educational Video Courses,Computation and Language (Natural Language Processing),cs.CL,2023-01-09,9/19/23,['Linden Wang'],'Linden Wang',"We studied the capability of automated machine translation in the online
video education space by automatically translating Khan Academy videos with
state-of-the-art translation models and applying text-to-speech synthesis and
audio/video synchronization to build engaging videos in target languages. We
also analyzed and established two reliable translation confidence estimators
based on round-trip translations in order to efficiently manage translation
quality and reduce human translation effort. Finally, we developed a deployable
system to deliver translated videos to end users and collect user corrections
for iterative improvement.",84
abs-2403.02177v2,"ProTrix: Building Models for Planning and Reasoning over Tables with
  Sentence Context",Computation and Language (Natural Language Processing),cs.CL,2024-03-04,7/1/24,"['Zirui Wu', 'Yansong Feng']",'Zirui Wu',"Tables play a crucial role in conveying information in various domains. We
propose a Plan-then-Reason framework to answer different types of user queries
over tables with sentence context. The framework first plans the reasoning
paths over the context, then assigns each step to program-based or textual
reasoning to reach the final answer. This framework enhances the table
reasoning abilities for both in-context learning and fine-tuning methods.
GPT-3.5-Turbo following Plan-then-Reason framework surpasses other prompting
baselines without self-consistency while using less API calls and in-context
demonstrations. We also construct an instruction tuning set TrixInstruct to
evaluate the effectiveness of fine-tuning with this framework. We present
ProTrix model family by finetuning models on TrixInstruct. Our experiments show
that ProTrix family generalizes to diverse unseen tabular tasks with only 6k
training instances. We further demonstrate that ProTrix can generate accurate
and faithful explanations to answer complex free-form questions. Our work
underscores the importance of the planning and reasoning abilities towards a
model over tabular tasks with generalizability and interpretability. We
open-source our dataset and models at https://github.com/WilliamZR/ProTrix.",173
